destination,hour,day,is_holiday,fitted,pearson_resid,leverage,abs_resid
COLS,12,sunday,FALSE,49.873061350112806,448.3274281313547,3.364108770112569e-5,448.3274281313547
MLPT,2,sunday,FALSE,0.053917983196329324,430.4264533054091,3.2382124663190213e-6,430.4264533054091
COLS,12,sunday,FALSE,49.873061350112806,428.6448589489479,3.364108770112569e-5,428.6448589489479
MLPT,2,weekday,TRUE,0.060121775156462984,403.5110887817744,3.6278197546925325e-6,403.5110887817744
COLS,12,sunday,FALSE,49.873061350112806,357.27784551058073,3.364108770112569e-5,357.27784551058073
COLS,12,sunday,FALSE,51.480999931118994,322.44049832564883,3.5023949686952796e-5,322.44049832564883
COLS,11,sunday,FALSE,48.87596541617745,309.40957437914426,3.311810648667004e-5,309.40957437914426
FRMT,2,sunday,FALSE,0.08460893533670402,305.6812691517061,5.054971174613156e-6,305.6812691517061
LAKE,12,saturday,FALSE,75.25136873666365,289.892766353467,4.514878207454664e-5,289.892766353467
COLS,12,sunday,FALSE,49.873061350112806,260.1394105528032,3.364108770112569e-5,260.1394105528032
BERY,2,weekday,TRUE,0.07433147129470058,252.8102176569979,4.4729887989848296e-6,252.8102176569979
MLBR,1,weekday,TRUE,1.3634739410801648,249.7574751110927,6.877759011587379e-6,249.7574751110927
WARM,2,sunday,FALSE,0.048122411639409814,236.82500552264418,2.895142135772848e-6,236.82500552264418
DUBL,2,sunday,FALSE,0.1269020540049526,232.63724607280787,7.558523077793672e-6,232.63724607280787
COLS,12,sunday,FALSE,49.873061350112806,217.5174441937784,3.364108770112569e-5,217.5174441937784
DELN,2,weekday,TRUE,0.17835621820242406,212.68500463391732,1.0660207376457735e-5,212.68500463391732
LAKE,12,saturday,FALSE,77.67751976468612,209.48835306617187,4.5429485032146826e-5,209.48835306617187
DBRK,2,weekday,TRUE,0.2761317691575652,206.90296191227446,1.647573419363841e-5,206.90296191227446
NBRK,2,weekday,TRUE,0.08411270873354573,206.59089904534036,5.054760500347195e-6,206.59089904534036
MLBR,1,weekday,TRUE,1.3634739410801648,204.36828343551502,6.877759011587379e-6,204.36828343551502
